"leaguage_id","home_team_id","away_team_id","season_id","home_sum_pkt_home_away_last_5","home_total_rows_home_away_last_5","away_sum_pkt_home_away_last_5","away_total_rows_home_away_last_5","sum_pkt_home_all","total_rows_home_all","sum_pkt_away_all","total_rows_away_all","sum_pkt_home_last_5","total_rows_home_last_5","sum_pkt_away_last_5","total_rows_away_last_5","type_1","type_0","type_2","type_10","type_02","type_12","home_value","home_players","away_value","away_players","ht_home_score","ht_away_score","ft_home_score","ft_away_score","ht_points","ft_points","bts","goals_2_5","tg"
6,15,9,1,0,5,0,5,9,4,3,5,9,4,3,5,2.42,3.35,3.05,1.41,1.6,1.35,11050000.00,32,14100000.00,30,0,0,1,0,1,3,0,0,1
6,2,18,1,3,5,3,5,3,5,6,5,3,5,6,5,2.25,3.45,3.3,1.36,1.69,1.34,9800000.00,29,11130000.00,36,1,2,2,3,0,0,1,1,5
6,5,7,1,6,5,6,5,6,5,6,5,6,5,6,5,1.96,3.57,4.05,1.27,1.89,1.32,32330000.00,30,19000000.00,28,0,0,0,0,1,1,0,0,0
6,10,6,1,6,5,3,5,9,5,3,5,9,5,3,5,1.76,3.8,4.9,1.2,2.14,1.29,19880000.00,29,10500000.00,27,2,1,2,1,3,3,1,1,3
6,8,13,1,0,5,6,5,3,4,6,5,3,4,6,5,2.1,3.5,3.65,1.31,1.79,1.33,9280000.00,33,6450000.00,29,0,2,0,2,0,0,0,0,2
6,3,4,1,0,5,9,5,9,5,6,5,9,5,6,5,1.65,3.85,5.7,1.15,2.3,1.28,10980000.00,37,6850000.00,32,1,1,4,1,1,3,1,1,5
6,17,12,1,6,5,12,5,6,4,3,3,6,4,3,3,5.0,3.7,1.75,2.13,1.19,1.3,9230000.00,27,33430000.00,28,0,0,0,0,1,1,0,0,0
6,14,16,1,3,5,9,5,6,5,9,5,6,5,9,5,2.41,3.22,3.2,1.38,1.6,1.37,9780000.00,33,8700000.00,28,0,1,0,2,0,0,0,0,2
6,9,12,1,0,5,9,5,6,4,3,4,6,4,3,4,4.55,3.45,1.9,1.96,1.23,1.34,12950000.00,30,33430000.00,28,0,0,0,1,1,0,0,0,1
6,13,10,1,9,5,6,5,6,5,6,5,6,5,6,5,4.25,3.5,1.92,1.92,1.24,1.32,6450000.00,29,19880000.00,29,2,1,4,2,3,3,1,1,6
6,3,15,1,0,5,0,5,12,6,6,6,9,5,3,5,2.12,3.5,3.5,1.32,1.75,1.32,10980000.00,37,11630000.00,32,0,1,1,1,0,1,1,0,2
6,14,2,1,6,5,6,5,6,6,6,4,3,5,6,4,2.68,3.45,2.68,1.51,1.51,1.34,9780000.00,33,9800000.00,29,2,0,4,1,3,3,1,1,5
6,7,16,1,6,5,9,5,12,5,12,6,12,5,12,5,1.88,3.55,4.5,1.23,1.98,1.33,19000000.00,28,8700000.00,28,1,0,1,0,3,3,0,0,1
6,1,6,1,6,5,3,5,9,6,3,6,6,5,3,5,2.05,3.45,3.85,1.29,1.82,1.34,13750000.00,35,10500000.00,27,0,0,0,1,1,0,0,0,1
6,18,4,1,3,5,9,5,3,5,6,6,3,5,6,5,1.77,3.8,4.95,1.21,2.15,1.3,11130000.00,36,6850000.00,32,1,0,1,1,3,1,1,0,2
6,5,11,1,6,5,9,5,6,6,6,5,6,5,6,5,1.75,3.75,4.9,1.19,2.12,1.29,32330000.00,30,8080000.00,31,1,0,1,0,3,3,0,0,1
6,12,8,1,9,5,3,5,15,6,0,5,12,5,0,5,1.29,5.65,11.0,1.05,3.75,1.15,33430000.00,28,9280000.00,33,1,0,1,0,3,3,0,0,1
6,9,17,1,3,5,3,5,6,5,9,6,6,5,9,5,2.02,3.5,3.9,1.28,1.84,1.33,12950000.00,30,9230000.00,27,0,1,1,2,0,0,1,1,3
6,4,13,1,6,5,6,5,3,5,9,6,3,5,6,5,2.38,3.4,3.05,1.4,1.61,1.34,6850000.00,32,6450000.00,29,0,2,0,2,0,0,0,0,2
6,15,7,1,0,5,3,5,12,5,6,6,12,5,6,5,2.7,3.4,2.66,1.5,1.49,1.34,11630000.00,32,19000000.00,28,0,0,2,1,1,3,1,1,3
6,11,14,1,6,5,3,5,6,6,3,5,6,5,3,5,2.2,3.35,3.55,1.33,1.72,1.36,8050000.00,30,9780000.00,33,0,0,2,0,1,3,0,0,2
6,6,12,1,3,5,12,5,0,4,6,5,0,4,6,5,5.3,4.15,1.65,2.33,1.18,1.26,10500000.00,27,33430000.00,28,0,2,0,3,0,0,0,1,3
6,16,3,1,6,5,0,5,0,5,0,5,0,5,0,5,2.62,3.2,2.9,1.43,1.52,1.37,8700000.00,28,10980000.00,37,0,0,2,0,1,3,0,0,2
6,10,9,1,3,5,6,5,12,6,3,6,9,5,3,5,1.86,3.7,4.4,1.24,2.01,1.31,19880000.00,29,12950000.00,31,0,1,1,1,0,1,1,0,2
6,8,1,1,6,5,6,5,3,5,6,5,3,5,6,5,3.3,3.42,2.28,1.68,1.37,1.35,9280000.00,33,13750000.00,36,0,1,1,1,0,1,1,0,2
6,17,18,1,6,5,3,5,6,5,9,6,6,5,9,5,2.62,3.35,2.81,1.47,1.53,1.36,9230000.00,27,11130000.00,36,1,0,3,0,3,3,0,1,3
6,2,5,1,6,5,3,5,3,6,6,4,3,5,6,4,3.3,3.45,2.26,1.69,1.37,1.34,9800000.00,29,32330000.00,30,1,1,1,2,1,0,1,1,3
6,17,8,1,6,5,6,5,9,6,0,6,9,5,0,5,2.0,3.5,3.9,1.27,1.84,1.32,9230000.00,27,9280000.00,33,1,0,1,0,3,3,0,0,1
6,13,15,1,9,5,0,5,9,6,6,7,9,5,0,5,3.0,3.35,2.46,1.58,1.42,1.35,6450000.00,29,11630000.00,32,1,0,1,1,3,1,1,0,2
6,7,10,1,3,5,0,5,15,6,6,6,12,5,6,5,2.22,3.45,3.4,1.35,1.71,1.34,18950000.00,28,19880000.00,29,1,0,1,1,3,1,1,0,2
6,12,4,1,12,5,6,5,18,7,6,7,12,5,3,5,1.22,6.8,14.5,1.03,4.65,1.13,33430000.00,28,6850000.00,32,0,0,1,0,1,3,0,0,1
6,16,2,1,6,5,9,5,3,6,6,5,3,5,6,5,2.87,3.35,2.57,1.55,1.45,1.36,8700000.00,28,9800000.00,29,0,0,0,0,1,1,0,0,0
6,14,3,1,3,5,0,5,9,7,0,6,6,5,0,5,2.7,3.4,2.72,1.5,1.5,1.35,9780000.00,33,10980000.00,37,1,1,2,2,1,1,1,1,4
6,1,5,1,6,5,6,5,9,7,9,5,3,5,9,5,3.15,3.4,2.35,1.64,1.39,1.35,13750000.00,36,32330000.00,30,0,0,0,0,1,1,0,0,0
6,9,11,1,6,5,6,5,6,6,6,6,6,5,6,5,2.37,3.25,3.25,1.37,1.63,1.37,12950000.00,31,8050000.00,30,1,1,1,2,1,0,1,1,3
6,18,6,1,3,5,6,5,3,6,6,7,3,5,3,5,1.93,3.75,4.0,1.27,1.94,1.3,11130000.00,36,10500000.00,27,0,1,0,3,0,0,0,1,3
6,8,10,1,6,5,0,5,3,6,6,7,3,5,3,5,3.65,3.6,2.07,1.81,1.31,1.32,9280000.00,33,19880000.00,29,2,2,2,4,1,0,1,1,6
6,2,17,1,9,5,6,5,3,7,12,7,0,5,9,5,2.45,3.35,3.05,1.42,1.6,1.36,9800000.00,29,9230000.00,27,3,0,3,0,3,3,0,1,3
6,4,9,1,9,5,9,5,3,6,3,7,3,5,3,5,2.83,3.32,2.62,1.53,1.46,1.36,6850000.00,32,12950000.00,31,1,0,1,1,3,1,1,0,2
6,3,7,1,0,5,0,5,12,7,6,7,9,5,6,5,3.0,3.4,2.45,1.59,1.42,1.35,10980000.00,37,18950000.00,28,1,3,2,5,0,0,1,1,7
6,15,14,1,0,5,3,5,15,6,3,6,12,5,3,5,2.05,3.5,3.8,1.29,1.82,1.33,11630000.00,32,9780000.00,33,0,0,1,2,1,0,1,1,3
